GE232,,0
EE332,(%d or %d or %d),3
CH215,(%d or %d),2
BIO320,(%d or %d),2
ESE212,(%d or %d or %d) and (%d or %d or %d) and (%d or %d),8
CH305-2,%d,1
EE210,,0
CS402,,0
ME306,%d and (%d or %d),3
ESE218,%d,1
CH323,%d,1
ESE216,(%d or %d or %d) and (%d or %d or %d),6
BIO340,,0
ME303,(%d or %d or %d) and (%d or (%d and %d)) and (%d or %d or %d),9
CS401,(%d or %d or %d) and (%d or %d) and %d,6
MSE202,(%d or %d) and (%d or %d or %d),5
MED307,(%d and %d and %d),3
EE106,,0
IPE105,,0
ESS102,,0
OCE306,%d,1
MA314,(%d or %d or %d),3
MA201b,(%d or %d or %d),3
CH305-1,(%d and %d),2
MA322,(%d or %d),2
ME308,%d,1
ESE304,(%d and %d),2
MSE330-16,,0
OCE308,%d,1
BMEB322,%d,1
ESE310,(%d and %d),2
MED305,%d,1
MA224,(%d or %d),2
MAES001,,0
OCE304,(%d or %d or %d or %d),4
ME305,%d,1
OCE307,%d,1
EE201-17L,(%d or %d or %d),3
CH214,(%d or %d),2
EE202-17,(%d or %d or %d),3
PHY203-15,(%d or %d or %d) and (%d or %d or %d) and (%d or %d),8
ESS312,(%d or %d or %d or %d) and (%d or %d),6
MAE403,(%d or %d),2
IPE103 ,,0
ME102,,0
IPE102,,0
ME301,(%d or %d or %d) and (%d or %d or %d),6
FET306,,0
IPE101,,0
OCE404,(%d and %d),2
ESE318,%d,1
ME405,(%d and %d),2
BIO332,(%d or %d),2
ME307,%d,1
CH320,(%d or %d),2
MAE204,(%d or %d or %d or %d) and (%d or %d),6
MA201a,(%d or %d or %d or %d or %d) and %d,6
ESE316,%d,1
FET470,,0
ESS205,,0
ESE332,(%d or %d or %d) and (%d or %d or %d) and (%d or %d or %d),9
ESE330,%d,1
EE201-17,(%d or %d or %d) and %d,4
CS316,,0
MA206,(%d or %d or %d),3
MA403,%d,1
ESS202,(%d or %d or %d or %d),4
BMEB312,%d,1
ESS201,,0
OCE305,(%d or %d),2
MAT8010,(%d or %d),2
CH322,%d,1
MSE201,(%d or %d or %d or %d) and (%d or %d),6
FET303,(%d or %d or %d or %d) and %d,5
MA327,(%d or %d or %d),3
MA208,(%d or %d or %d or %d) and (%d or %d) and %d,7
MA406,(%d or %d or %d or %d or %d),5
ESE329,(%d or %d or %d) and (%d or %d or %d or %d) and %d,8
MED308,,0
ME304,(%d or %d) and (%d or %d or %d or %d or %d),7
MAE202,(%d or %d or %d or %d) and (%d or %d),6
MA417,(%d or %d or %d),3
MAT7041,%d,1
ME434,%d,1
FET302,,0
BMEB325,%d,1
EE328,%d,1
ESE201,,0
MAT7012,(%d or %d),2
MAE314,(%d or %d or %d or %d),4
CS307,,0
ESE307,(%d or %d or %d),3
MAE302-16,(%d or %d or %d),3
EE334,(%d or %d or %d),3
MAE310,(%d or %d),2
ESE331,%d,1
IPE104,,0
PHY442,%d,1
CS306,%d,1
FET206,(%d or %d or %d),3
MA333,(%d or %d),2
CH102-17,(%d or %d),2
CS207,,0
MA210,(%d or %d or %d or %d or %d),5
FET202,,0
ME302,(%d and %d),2
ESE214,%d,1
BIO342,%d,1
MA213-16,(%d or %d),2
PHY431,(%d or %d) and %d,3
MA110,%d,1
CH212-16,(%d or %d),2
OCE408,%d,1
PHY439,(%d or %d) and %d,3
FET204,(%d and %d),2
MAE308,(%d or %d or %d or %d),4
CS209A,(%d or %d or %d or %d),4
CH308-14,(%d and %d),2
CH318-14,(%d or %d),2
CS205,,0
BIO203,,0
BIO301,,0
BIO303,(%d and %d),2
BIO305,(%d or %d),2
BIO304,(%d or %d) and (%d or (%d and (%d or %d))),6
BIO306,%d,1
BIO308,,0
BIO104,(%d or %d) or %d,3
BIO202,(%d or %d),2
BIO310,(%d or %d),2
BIO302,(%d or %d) and (%d or %d) and %d,5
BIO331,(%d or %d),2
PHY104B,,0
ESS310,(%d and %d),2
EE404,,0
OCE407,,0
ME112,,0
FET490,,0
