GE232,null
EE332,(数字电路 或者 数字电路 或者 数字电路)
CH215,(无机化学I 或者 无机化学导论)
BIO320,(普通生物学 或者 普通生物学)
ESE212,(化学原理 或者 化学原理 A 或者 化学原理 B) 并且 (大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下)) 并且 (化学原理实验 或者 化学原理实验A)
CH305-2,仪器分析原理
EE210,null
CS402,null
ME306,(机械设计基础) 并且 (控制工程基础 或者 控制工程基础 )
ESE218,水力学
CH323,有机化学II
ESE216,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II) 并且 (大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下))
BIO340,null
ME303,(材料力学 或者 材料力学 或者 材料力学) 并且 (CAD与工程制图 或者 (工程制图 并且 CAD技术Ⅱ)) 并且 (理论力学I 或者 理论力学I 或者 理论力学I-B)
CS401,(计算机程序设计基础 或者 计算机编程基础 或者 计算机程序设计基础A) 并且 (数据结构与算法分析 或者 数据结构与算法设计) 并且 计算机组成原理
MSE202,(化学原理 或者 化学原理 A) 并且 (高等数学(下) 或者 高等数学(下)A 或者 数学分析II)
MED307,(细胞生物学 并且 分子生物学 并且 组织学与胚胎学)
EE106,null
IPE105,null
ESS102,null
OCE306,普通地质学
MA314,(概率论与数理统计 或者 数理统计 或者 数理统计)
MA201b,(高等数学(下) 或者 高等数学(下)A 或者 高等数学(下)B)
CH305-1,(分析化学 并且 分析化学实验)
MA322,(概率论与数理统计 或者 概率论)
ME308,机械制造基础
ESE304,(环境化学 并且 物理化学)
MSE330-16,null
OCE308,海洋生态系统导论
BMEB322,生物医学工程实验(一)
ESE310,(固体废弃物处理处置与资源化 并且 大气污染与防治)
MED305,生理学与病理生理学 I
MA224,(概率论与数理统计 或者 概率论)
MAES001,null
OCE304,(计算机程序设计基础B 或者 计算机程序设计基础A 或者 计算机编程基础 或者 计算机程序设计基础)
ME305,机械设计基础
OCE307,海洋生态系统导论
EE201-17L,(模拟电路 或者 模拟电路 或者 工程电路与电子基础)
CH214,(无机化学I 或者 无机化学导论)
EE202-17,(大学物理 B(下) 或者 大学物理A(下) 或者 大学物理A(下))
PHY203-15,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II) 并且 (大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下)) 并且 (线性代数I-A 或者 线性代数I)
ESS312,(高等数学(上)A 或者 高等数学(上) 或者 数学分析I 或者 数学分析I) 并且 (线性代数I-A 或者 线性代数I)
MAE403,(流体力学 或者 流体力学)
IPE103 ,null
ME102,null
IPE102,null
ME301,(理论力学I 或者 理论力学I 或者 理论力学I-B) 并且 (常微分方程 或者 常微分方程A 或者 常微分方程B)
FET306,null
IPE101,null
OCE404,(海洋科学导论 并且 海洋地质学)
ESE318,地球科学概论
ME405,(机械设计基础 并且 创新设计实践)
BIO332,(细胞生物学 或者 细胞生物学)
ME307,电路基础
CH320,(化学原理 A 或者 化学原理)
MAE204,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II 或者 数学分析II) 并且 (线性代数I 或者 线性代数I-A)
MA201a,(数学分析精讲 或者 数学分析III 或者 数学分析III 或者 数学分析精讲 或者 数学分析精讲) 并且 线性代数II
ESE316,水文学原理与应用
FET470,null
ESS205,null
ESE332,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II) 并且 (大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下)) 并且 (化学原理 A 或者 化学原理 B 或者 化学原理)
ESE330,环境微生物学
EE201-17,(大学物理 B(下) 或者 大学物理A(下) 或者 大学物理A(下)) 并且 电路基础
CS316,null
MA206,(常微分方程A 或者 常微分方程B 或者 常微分方程)
MA403,统计线性模型
ESS202,(计算机编程基础 或者 计算机程序设计基础B 或者 计算机程序设计基础A 或者 计算机程序设计基础)
BMEB312,定量生理学(一)
ESS201,null
OCE305,(海洋科学导论 或者 海洋学概论)
MAT8010,(抽象代数 或者 抽象代数)
CH322,分析化学
MSE201,(大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下) 或者 大学物理 B(下)) 并且 (化学原理 或者 化学原理 A)
FET303,(概率论与数理统计 或者 概率论 或者 数理统计 或者 数理统计) 并且 公司金融
MA327,(常微分方程A 或者 常微分方程B 或者 常微分方程)
MA208,(数学分析III 或者 数学分析III 或者 数学分析精讲 或者 数学分析精讲) 并且 (概率论 或者 概率论与数理统计) 并且 线性代数II
MA406,(数学分析III 或者 数学分析III 或者 数学分析精讲 或者 数学分析精讲 或者 数学分析精讲)
ESE329,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II) 并且 (大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下) 或者 大学物理 B(下)) 并且 地球科学概论
MED308,null
ME304,(材料科学基础 或者 材料科学基础) 并且 (流体力学 或者 流体力学 或者 工程流体力学 或者 传热学 或者 工程热力学)
MAE202,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II 或者 数学分析II) 并且 (线性代数I 或者 线性代数I-A)
MA417,(数理统计 或者 概率论与数理统计 或者 数理统计)
MAT7041,统计线性模型
ME434,机器人基础
FET302,null
BMEB325,医学影像系统原理
EE328,数字信号处理
ESE201,null
MAT7012,(抽象代数 或者 抽象代数)
MAE314,(高等数学(下)A 或者 数学分析II 或者 高等数学(下) 或者 数学分析II)
CS307,null
ESE307,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II)
MAE302-16,(流体力学 或者 流体力学 或者 工程流体力学)
EE334,(数字电路 或者 数字电路 或者 数字电路)
MAE310,(弹性力学 或者 弹性力学)
ESE331,生态学概论
IPE104,null
PHY442,量子力学I
CS306,数据结构与算法分析
FET206,(计算机程序设计基础A 或者 计算机程序设计基础 或者 计算机编程基础)
MA333,(概率论与数理统计 或者 概率论)
CH102-17,(化学原理 或者 化学原理 A)
CS207,null
MA210,(数学分析III 或者 数学分析III 或者 数学分析精讲 或者 数学分析精讲 或者 数学分析精讲)
FET202,null
ME302,(制造工程认知实践 并且 机械设计基础)
ESE214,环境监测
BIO342,微生物学实验
MA213-16,(高等数学(下) 或者 高等数学(下)A)
PHY431,(固体物理 或者 固体物理) 并且 量子力学II
MA110,线性代数II
CH212-16,(化学原理 A 或者 化学原理)
OCE408,矿物学与岩石学
PHY439,(线性代数I-A 或者 线性代数I) 并且 分析力学
FET204,(微观经济学 并且 财务会计)
MAE308,(高等数学(下)A 或者 数学分析II 或者 高等数学(下) 或者 数学分析II)
CS209A,(计算机程序设计基础A 或者 计算机程序设计基础 或者 计算机编程基础 或者 计算机程序设计基础B)
CH308-14,(有机化学II 并且 物理化学I)
CH318-14,(化学原理 A 或者 化学原理)
CS205,null
BIO203,null
BIO301,null
BIO303,(生物化学与分子生物学实验 并且 遗传学)
BIO305,(普通生物学 或者 普通生物学)
BIO304,(普通生物学 或者 普通生物学) 并且 (概率论与数理统计 或者 (概率论 并且 (数理统计 或者 数理统计)))
BIO306,计算生物学
BIO308,null
BIO104,(普通生物学 或者 普通生物学) 或者 生命科学概论
BIO202,(生物化学I(生物大分子) 或者 生物化学I(生物大分子))
BIO310,(生物化学I(生物大分子) 或者 生物化学I(生物大分子))
